dcid,sentence
Exports_EconomicActivity_StarchesInulin_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of starches inulin
Exports_EconomicActivity_StationeryFittingsForLooseLeafBindersOrFilesLetter,Exports of stationery fittings for loose leaf binders or
Exports_EconomicActivity_StationeryFittingsForLooseLeafBindersOrFilesLetter_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of stationery fittings for loose leaf binders or
Exports_EconomicActivity_StatuettesAndOtherOrnamentalCeramicArticles,Exports of statuettes and other ornamental ceramic articles
Exports_EconomicActivity_StatuettesAndOtherOrnamentalCeramicArticles_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of statuettes and other ornamental ceramic articles
Exports_EconomicActivity_SteelAlloyBarsAndRodsHotRolledInIrregularlyWou7227,Exports of steel alloy bars and rods hot rolled
Exports_EconomicActivity_SteelAlloyBarsAndRodsHotRolledInIrregularlyWou7227_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of steel alloy bars and rods hot rolled
Exports_EconomicActivity_StoneOrOtherMineralSubstancesArticlesThereof,Exports of stone or other mineral substances articles thereof
Exports_EconomicActivity_StoneOrOtherMineralSubstancesArticlesThereof_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of stone or other mineral substances articles thereof
Exports_EconomicActivity_StonePlasterCementAsbestosMicaOrSimilarMaterials,Exports of stone plaster cement asbestos mica or similar
Exports_EconomicActivity_StonePlasterCementAsbestosMicaOrSimilarMaterials_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of stone plaster cement asbestos mica or similar
Exports_EconomicActivity_StoneSettsCurbstonesAndFlagstonesOfNaturalSton6801,Exports of stone setts curbstones and flagstones of natural
Exports_EconomicActivity_StoneSettsCurbstonesAndFlagstonesOfNaturalSton6801_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of stone setts curbstones and flagstones of natural
Exports_EconomicActivity_StonesSyntheticOrReconstructedPreciousOrSemi7104,Exports of stones synthetic or reconstructed precious or semi
Exports_EconomicActivity_StonesSyntheticOrReconstructedPreciousOrSemi7104_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of stones synthetic or reconstructed precious or semi
Exports_EconomicActivity_StoppersCapsLidsIncludingCrownCorksScrewCaps,Exports of stoppers caps lids including crown corks screw
Exports_EconomicActivity_StoppersCapsLidsIncludingCrownCorksScrewCaps_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of stoppers caps lids including crown corks screw
Exports_EconomicActivity_StovesRangesGratesCookersThoseWithSubsidiary,Exports of stoves ranges grates cookers those with subsidiary
Exports_EconomicActivity_StovesRangesGratesCookersThoseWithSubsidiary_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of stoves ranges grates cookers those with subsidiary
Exports_EconomicActivity_StrandedWireRopesCablesPlaitedBandsSlingsAndThe,Exports of stranded wire ropes cables plaited bands slings
Exports_EconomicActivity_StrandedWireRopesCablesPlaitedBandsSlingsAndThe_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of stranded wire ropes cables plaited bands slings
Exports_EconomicActivity_StructuresOfIronOrSteelAndPartsThereofPlatesRods,Exports of structures of iron or steel and parts
Exports_EconomicActivity_StructuresOfIronOrSteelAndPartsThereofPlatesRods_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of structures of iron or steel and parts
Exports_EconomicActivity_SugarConfectioneryIncludingWhiteChocolateNot,Exports of sugar confectionery including white chocolate not
Exports_EconomicActivity_SugarConfectioneryIncludingWhiteChocolateNot_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of sugar confectionery including white chocolate not
Exports_EconomicActivity_SugarsAndSugarConfectionery,Exports of sugars and sugar confectionery
Exports_EconomicActivity_SugarsAndSugarConfectionery_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of sugars and sugar confectionery
Exports_EconomicActivity_SugarsChemicallyPureOtherThanSucroseLactoseMal2940,Exports of sugars chemically pure other than sucrose lactose
Exports_EconomicActivity_SugarsChemicallyPureOtherThanSucroseLactoseMal2940_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of sugars chemically pure other than sucrose lactose
Exports_EconomicActivity_SugarsIncludingLactoseMaltoseGlucoseOrFructoseIn,Exports of sugars including lactose maltose glucose or fructose
Exports_EconomicActivity_SugarsIncludingLactoseMaltoseGlucoseOrFructoseIn_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of sugars including lactose maltose glucose or fructose
Exports_EconomicActivity_SuitsEnsemblesJacketsBlazersTrousersBibAndBrac6103,Exports of suits ensembles jackets blazers trousers bib and
Exports_EconomicActivity_SuitsEnsemblesJacketsBlazersTrousersBibAndBrac6103_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of suits ensembles jackets blazers trousers bib and
Exports_EconomicActivity_SuitsEnsemblesJacketsBlazersTrousersBibAndBrac6203,Exports of suits ensembles jackets blazers trousers bib and
Exports_EconomicActivity_SuitsEnsemblesJacketsBlazersTrousersBibAndBrac6203_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of suits ensembles jackets blazers trousers bib and
Exports_EconomicActivity_SuitsEnsemblesJacketsDressesSkirtsDividedSkirt6104,Exports of suits ensembles jackets dresses skirts divided skirt
Exports_EconomicActivity_SuitsEnsemblesJacketsDressesSkirtsDividedSkirt6104_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of suits ensembles jackets dresses skirts divided skirt
Exports_EconomicActivity_SuitsEnsemblesJacketsDressesSkirtsDividedSkirt6204,Exports of suits ensembles jackets dresses skirts divided skirt
Exports_EconomicActivity_SuitsEnsemblesJacketsDressesSkirtsDividedSkirt6204_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of suits ensembles jackets dresses skirts divided skirt
Exports_EconomicActivity_SulphatesAlumsPeroxosulphatesPersulphates,Exports of sulphates alums peroxosulphates persulphates
Exports_EconomicActivity_SulphatesAlumsPeroxosulphatesPersulphates_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of sulphates alums peroxosulphates persulphates
Exports_EconomicActivity_SulphidesOfNonMetalsCommercialPhosphorus,Exports of sulphides of non metals commercial phosphorus
Exports_EconomicActivity_SulphidesOfNonMetalsCommercialPhosphorus_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of sulphides of non metals commercial phosphorus
Exports_EconomicActivity_SulphidesPolysulphidesWhetherOrNotChemically,Exports of sulphides polysulphides whether or not chemically
Exports_EconomicActivity_SulphidesPolysulphidesWhetherOrNotChemically_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of sulphides polysulphides whether or not chemically
Exports_EconomicActivity_SulphitesThiosulphates,Exports of sulphites thiosulphates
Exports_EconomicActivity_SulphitesThiosulphates_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of sulphites thiosulphates
Exports_EconomicActivity_Sulphonamides,Exports of sulphonamides
Exports_EconomicActivity_Sulphonamides_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of sulphonamides
Exports_EconomicActivity_SulphonatedNitratedOrNitrosatedDerivativesOf,Exports of sulphonated nitrated or nitrosated derivatives of
Exports_EconomicActivity_SulphonatedNitratedOrNitrosatedDerivativesOf_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of sulphonated nitrated or nitrosated derivatives of
Exports_EconomicActivity_SulphurOfAllKindsOtherThanSublimedPrecipitated2503,Exports of sulphur of all kinds other than sublimed
Exports_EconomicActivity_SulphurOfAllKindsOtherThanSublimedPrecipitated2503_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of sulphur of all kinds other than sublimed
Exports_EconomicActivity_SulphurSublimedOrPrecipitatedColloidalSulphur2802,Exports of sulphur sublimed or precipitated colloidal sulphur
Exports_EconomicActivity_SulphurSublimedOrPrecipitatedColloidalSulphur2802_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of sulphur sublimed or precipitated colloidal sulphur
Exports_EconomicActivity_SulphuricAcidOleum2807,Exports of sulphuric acid oleum
Exports_EconomicActivity_SulphuricAcidOleum2807_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of sulphuric acid oleum
Exports_EconomicActivity_SunFlowerSeedSafflowerOrCottonSeedOilAndTheir,Exports of sun flower seed safflower or cotton seed
Exports_EconomicActivity_SunFlowerSeedSafflowerOrCottonSeedOilAndTheir_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of sun flower seed safflower or cotton seed
Exports_EconomicActivity_SunflowerSeedsWhetherOrNotBroken,Exports of sunflower seeds whether or not broken
Exports_EconomicActivity_SunflowerSeedsWhetherOrNotBroken_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of sunflower seeds whether or not broken
Exports_EconomicActivity_SurveyingIncludingPhotogrammetricalSurveying,Exports of surveying including photogrammetrical surveying
Exports_EconomicActivity_SurveyingIncludingPhotogrammetricalSurveying_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of surveying including photogrammetrical surveying
Exports_EconomicActivity_SwedesMangoldsFodderRootsHayLucerneAlfalfaClover,Exports of swedes mangolds fodder roots hay lucerne alfalfa
Exports_EconomicActivity_SwedesMangoldsFodderRootsHayLucerneAlfalfaClover_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of swedes mangolds fodder roots hay lucerne alfalfa
Exports_EconomicActivity_SwineLive,Exports of swine live
Exports_EconomicActivity_SwineLive_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of swine live
Exports_EconomicActivity_SyntheticFilamentTow,Exports of synthetic filament tow
Exports_EconomicActivity_SyntheticFilamentTow_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of synthetic filament tow
Exports_EconomicActivity_SyntheticFilamentYarnOtherThanSewingThreadNotPutUp,Exports of synthetic filament yarn other than sewing thread
Exports_EconomicActivity_SyntheticFilamentYarnOtherThanSewingThreadNotPutUp_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of synthetic filament yarn other than sewing thread
Exports_EconomicActivity_SyntheticMonofilamentOf67DecitexOrMoreOfWhichNo,Exports of synthetic monofilament of67decitex or more of which
Exports_EconomicActivity_SyntheticMonofilamentOf67DecitexOrMoreOfWhichNo_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of synthetic monofilament of67decitex or more of which
Exports_EconomicActivity_SyntheticOrganicColouringMatterAndPreparations,Exports of synthetic organic colouring matter and preparations
Exports_EconomicActivity_SyntheticOrganicColouringMatterAndPreparations_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of synthetic organic colouring matter and preparations
Exports_EconomicActivity_SyntheticRubberAndFacticeDerivedFromOilsInPrimary,Exports of synthetic rubber and factice derived from oils
Exports_EconomicActivity_SyntheticRubberAndFacticeDerivedFromOilsInPrimary_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of synthetic rubber and factice derived from oils
Exports_EconomicActivity_SyntheticStapleFibresCardedCombedOrOtherwise,Exports of synthetic staple fibres carded combed or otherwise
Exports_EconomicActivity_SyntheticStapleFibresCardedCombedOrOtherwise_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of synthetic staple fibres carded combed or otherwise
Exports_EconomicActivity_SyntheticStapleFibresNotCardedCombedOrOtherwise,Exports of synthetic staple fibres not carded combed or
Exports_EconomicActivity_SyntheticStapleFibresNotCardedCombedOrOtherwise_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of synthetic staple fibres not carded combed or
Exports_EconomicActivity_TShirtsSingletsAndOtherVestsKnittedOrCrocheted,Exports of tshirts singlets and other vests knitted or
Exports_EconomicActivity_TShirtsSingletsAndOtherVestsKnittedOrCrocheted_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of tshirts singlets and other vests knitted or
Exports_EconomicActivity_TableKitchenOtherHouseholdArticlesAndPartsOfIronOr,Exports of table kitchen other household articles and parts
Exports_EconomicActivity_TableKitchenOtherHouseholdArticlesAndPartsOfIronOr_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of table kitchen other household articles and parts
Exports_EconomicActivity_TablewareAndKitchenwareOfWood,Exports of tableware and kitchenware of wood
Exports_EconomicActivity_TablewareAndKitchenwareOfWood_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of tableware and kitchenware of wood
Exports_EconomicActivity_TablewareKitchenwareOtherHouseholdArticlesAnd3924,Exports of tableware kitchenware other household articles and
Exports_EconomicActivity_TablewareKitchenwareOtherHouseholdArticlesAnd3924_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of tableware kitchenware other household articles and
Exports_EconomicActivity_TablewareKitchenwareOtherHouseholdArticlesAnd6911,Exports of tableware kitchenware other household articles and
Exports_EconomicActivity_TablewareKitchenwareOtherHouseholdArticlesAnd6911_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of tableware kitchenware other household articles and
Exports_EconomicActivity_TailorsDummiesAndOtherLayFiguresAutomataAndOth9618,Exports of tailors dummies and other lay figures automata
Exports_EconomicActivity_TailorsDummiesAndOtherLayFiguresAutomataAndOth9618_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of tailors dummies and other lay figures automata
Exports_EconomicActivity_TallOilWhetherOrNotRefined3803,Exports of tall oil whether or not refined
Exports_EconomicActivity_TallOilWhetherOrNotRefined3803_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of tall oil whether or not refined
Exports_EconomicActivity_TanksCasksDrumsCansBoxesAndSimilarContainersFo7310,Exports of tanks casks drums cans boxes and similar
Exports_EconomicActivity_TanksCasksDrumsCansBoxesAndSimilarContainersFo7310_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of tanks casks drums cans boxes and similar
Exports_EconomicActivity_TannedOrCrustHidesAndSkinsOfBovineIncludingBuffalo,Exports of tanned or crust hides and skins of
Exports_EconomicActivity_TannedOrCrustHidesAndSkinsOfBovineIncludingBuffalo_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of tanned or crust hides and skins of
